season_year,team_id,team_name
2026,15042,Montclair Blues 14AA
2026,15057,Montclair Blues 14GRY
2026,15069,Montclair Blues 14L
2026,15088,Montclair Blues 15AA
2026,15095,Montclair Blues 16AA
2026,15107,Montclair Blues 16GRY
2026,15117,Montclair Blues 16L
2026,15125,Montclair Blues 18AA
2026,15135,Montclair Blues 18GRY
2026,15473,Montclair Blues 8U ADV
2026,15497,Montclair Blues 8U BEG
2026,15484,Montclair Blues 8U INT
2026,9882,MYHA 10AA
2026,9883,MYHA 10GRY
2026,9898,MYHA 10L Blue
2026,9884,MYHA 10M
2026,9885,MYHA 12AA
2026,9886,MYHA 12GRY
2026,9888,MYHA 12L Blue
2026,9887,MYHA 12L Gold
2026,9890,MYHA 12M Gold
2026,15035,MYHA 13AA
2026,9893,MYHA 14GRY
2026,9899,MYHA 14L Blue
2026,9905,MYHA 14L Gold
2026,9900,MYHA 14M Blue
2026,9906,MYHA 14M Gold
2026,9901,MYHA 16GRY Blue
2026,9907,MYHA 16GRY Gold
2026,15398,NJ Aviators 8AA
2026,9912,NJ Bandits 10GRY
2026,9914,NJ Bandits 10M Gold
2026,9913,NJ Bandits 10M Lofberg
2026,14981,NJ Bandits 12GRY
2026,9916,NJ Bandits 12L
2026,15013,NJ Bandits 12M
2026,580,NJ Bandits 13AA
2026,5451,NJ Bandits 14AA
2026,9917,NJ Bandits 14GRY
2026,15096,NJ Bandits 16AA Liautaud
2026,15097,NJ Bandits 16AA MJ
2026,9919,NJ Bandits 16GRY
2026,9920,NJ Bandits 18AA
2026,15513,NJ Bandits 6U
2026,5132,NJ Bandits 8U ADV
2026,5726,NJ Bandits 8U BEG
2026,15498,NJ Bandits 8U BEG Fortino
2026,5734,NJ Bandits 8U INT
2026,14924,NJ Jets 10AA
2026,9922,NJ Jets 10L
2026,9923,NJ Jets 10M
2026,9925,NJ Jets 12AA
2026,15028,NJ Jets 12L
2026,9926,NJ Jets 12M
2026,9927,NJ Jets 13AA
2026,9929,NJ Jets 14L
2026,9934,NJ Jets 16AA Black
2026,15098,NJ Jets 16AA White
2026,15108,NJ Jets 16GRY
2026,9930,NJ Jets 16L
2026,9935,NJ Jets 18AA
2026,9931,NJ Jets 18GRY
2026,15510,NJ Jets 6U
2026,10587,NJ Jets 8U BEG
2026,10586,NJ Jets 8U INT
2026,9932,NJ Jets 9AA
2026,10585,NJ Jets ADV
2026,10838,NJ Renegades 18AA
2026,9939,North Jersey Avalanche 10AA
2026,14951,North Jersey Avalanche 10M
2026,9941,North Jersey Avalanche 11AA
2026,9942,North Jersey Avalanche 12AA
2026,9943,North Jersey Avalanche 13AA
2026,9944,North Jersey Avalanche 14AA
2026,9946,North Jersey Avalanche 14L
2026,9947,North Jersey Avalanche 15AA
2026,9948,North Jersey Avalanche 16AA Blue
2026,15099,North Jersey Avalanche 16AA White
2026,10824,North Jersey Avalanche 16GRY
2026,15127,North Jersey Avalanche 18AA Blue
2026,9950,North Jersey Avalanche 18AA White
2026,15136,North Jersey Avalanche 18GRY
2026,9951,North Jersey Blizzard 8AAA
2026,14946,NY Arrows 10M
2026,15022,NY Arrows 12L
2026,15043,NY Arrows 14AA
2026,15058,NY Dynamo 14GRY
2026,9965,Outlaws 8AAA
2026,14931,PAL Blue Knights 10GRY
2026,14967,PAL Blue Knights 11AA
2026,9970,PAL Blue Knights 12AA NTB
2026,13875,PAL Blue Knights 12AA TB
2026,15036,PAL Blue Knights 13AA
2026,9971,PAL Blue Knights 14AA
2026,9973,PAL Blue Knights 15AA
2026,9974,PAL Blue Knights 16AA
2026,9966,PAL Blue Knights 18AA
2026,9981,PAL Blue Knights 9AA
2026,9967,PAL Sound Tigers 10AA
2026,9978,PAL Sound Tigers 12L
2026,15037,PAL Sound Tigers 13AA
2026,15070,PAL Sound Tigers 14L
2026,15089,PAL Sound Tigers 15AA
2026,15109,PAL Sound Tigers 16GRY
2026,10594,Palmyra Black Knights 8U INT
2026,14942,Palmyra Black Knights 10L
2026,15014,Palmyra Black Knights 12M
2026,5424,Palmyra Black Knights 13AA
2026,9985,Palmyra Black Knights 14UL
2026,9986,Palmyra Black Knights 16AA
2026,15110,Palmyra Black Knights 16GRY
2026,10593,Palmyra Black Knights 8U ADV
2026,10592,Palmyra Black Knights 8U BEG
2026,9983,PBK 10M
2026,5316,PBK 11AA
2026,5342,PBK 12AA
2026,9984,PBK 12L
2026,5832,PBK 14AA
2026,9987,PBK 18GRY
2026,10595,Pennsauken Pilots 8AA
2026,9988,Pennsauken Pilots 8AAA
2026,10010,Philadelphia Resistance 8AAA
2026,10013,Ramapo Saints 10AA
2026,15019,Ramapo Saints 10M
2026,10018,Ramapo Saints 11AA
2026,10019,Ramapo Saints 12AA
2026,10020,Ramapo Saints 12GRY
2026,10021,Ramapo Saints 12L
2026,15015,Ramapo Saints 12M
2026,10023,Ramapo Saints 13AA
2026,10024,Ramapo Saints 14AA
2026,10025,Ramapo Saints 14L
2026,10026,Ramapo Saints 15AA
2026,10027,Ramapo Saints 16AA
2026,10028,Ramapo Saints 16L
2026,10029,Ramapo Saints 18AA
2026,15508,Ramapo Saints 6U
2026,10600,Ramapo Saints 8U ADV Byrnes
2026,15475,Ramapo Saints 8U ADV Torre
2026,10602,Ramapo Saints 8U INT McKessy
2026,10601,Ramapo Saints 8U INT Soffell
2026,15142,Ramapo Saints 9AA
2026,15143,Red Bank General 9AA
2026,14925,Red Bank Generals 10AA
2026,10032,Red Bank Generals 10M
2026,14983,Red Bank Generals 12GRY
2026,10035,Red Bank Generals 12L
2026,10037,Red Bank Generals 14AA
2026,10038,Red Bank Generals 14L
2026,10039,Red Bank Generals 15AA
2026,10040,Red Bank Generals 16AA
2026,15128,Red Bank Generals 18AA Black
2026,15129,Red Bank Generals 18AA White
2026,10607,Red Bank Generals 8U ADV Black
2026,15476,Red Bank Generals 8U ADV White
2026,10606,Red Bank Generals 8U INT
2026,10041,Red Bank Lumberjacks 8AAA
2026,15059,Rocket Hockey Clubs 14GRY
2026,14984,Rockets HC 12GRY
2026,10048,Rockets HC 12L
2026,10049,Rockets HC 12M
2026,10050,Rockets HC 13AA Black
